colorImgPath,colorCode,name_color
4101.jpg,4002,BC 4002  Diluant
4051.jpg,4051,BC 4051  Light Green
4940.jpg,4940,BC 4940  Clear Light Blue
4980.jpg,4980,BC 4980  Clear Red Oxide
4019.jpg,4019,BC 4019  White
4061.jpg,4061,BC 4061  Lemon Green
4025.jpg,4025,BC 4025  Mixing black
4020.jpg,4202,BC 4202  Dark Black
4081.jpg,4081,BC 4081  Orange
4060.jpg,4060,BC 4060  Yellow Gold
4014.jpg,4014,BC 4014  Aluminum Fine
4960.jpg,4960,BC 4960  Clear Yellow Gold
4920.jpg,4920,BC 4920  Clear Black
4560.jpg,4560,BC 4560  Yellow Oxide
4580.jpg,4580,BC 4580  Red Oxide
4510.jpg,4510,BC 4510  Clear White
4017.jpg,4017,BC 4017  Medium Aluminum
4101.jpg,4110,BC 4110  Flop Additive
4283.jpg,4283,BC 4283  Red Yellow
4070.jpg,4070,BC 4070  Light Orange
4561.jpg,4561,BC 4561  Yellow Stars
4561.jpg,4063,BC 4063  Amazon Yellow
4508.jpg,4985,BC 4985 Red Rose Pearl
4511.jpg,4511,BC 4511  Red Wine Pearl
4117.jpg,4117,BC 4117  Super Medium Aluminum
4101.jpg,4010,BC 4010  Clear
4188.jpg,4188,BC 4188  Magenta
4082.jpg,4082,BC 4082  Red Brown
4047.jpg,4047,BC 4047 Reddish Blue
144040.jpg,4040,BC 4040  Light Blue
4050.jpg,4050,BC 4050  Dark Green
4030.jpg,4030,BC 4030  Violet
4405.jpg,4954,BC 4954 Green Pearl
4811.jpg,4811,BC 4811  Blue Pearl
4504.jpg,4504,XB 4504  Xirallic Blue Green
4526.jpg,4526,BC 4526  Light Gold Pearl
4080.jpg,4080,BC 4080  Red Gold
4681.jpg,4681,BC 4681  Fire Red
4074.jpg,4074,BC 4074  Dark Orange
4084.jpg,4084,BC 4084  Red Rose
4308.jpg,4308,XB 4308  Xirallic Red Hell
4581.jpg,4581,XB 4581  Xirallic Red
14120.jpg,4120,BC 4120  Laser Black
14882.jpg,4882,BC 4882  Dark Red Rose
4018.jpg,4018,BC 4018  Aluminum Extra Coarse
4582.jpg,4582,BC 4582  Deep Red
4012.jpg,4012,BC 4012  Aluminum Super Fine
4519.jpg,4519,BC 4519  White flip flop
4910.jpg,4910,BC 4910  White Satin Pearl
4805.jpg,4805,XB 4805 Xirallic Satin Red
4704.jpg,4704,XB 4704  Xirallic Blue
4640.jpg,4640,BC 4640  Medium Blue
4403.jpg,4934,BC 4934 Violet Pearl
4517.jpg,4517,BC 4517  Bright Coarse Aluminum
4041.jpg,4041,BC 4041  Greenish Blue
4111.jpg,4111,BC 4111  White Pearl
4091.jpg,4091,XB 4091  Xirallic Silver
4306.jpg,4966,BC 4966 Gold Pearl
4705.jpg,4705,XB 4705  Xirallic Green
24211.jpg,4211,BC 4211  Medium Gold Pearl
4306.jpg,4963,BC 4963 Medium Gold Pearl
4407.jpg,4974,BC 4974 Sunrise Red Pearl
14607.jpg,4607,CB 4607  Crystal Dark Red Gold
4026.jpg,4026,BC 4026  Black Night
14020.jpg,4020,BC 4020  Black
14528.jpg,4528,BC 4528  Red Rose Pearl
4518.jpg,4518,BC 4518  Aluminum Coarse
4206.jpg,4962,BC 4962 Yellow Pearl
4085.jpg,4085,BC 4085  Old Red
4107.jpg,4107,XB 4107 Xirallic Royal Gold
4020.jpg,4340,BC 4340  Jet Black
4708.jpg,4987,BC 4987 Gold Orange Pearl
4507.jpg,4975,BC 4975 Reddish Brown Pearl
4307.jpg,4973,BC 4973 Red Cooper Pearl
114019.jpg,2019,2K 2019  White
114510.jpg,2510,2K 2510  Clear White
114560.jpg,2560,2K 2560  Yellow Oxide
114580.jpg,2580,2K 2580  Red Oxide
154025.jpg,2025,2K 2025  Mixing Black
4162.jpg,4162,BC 4162  Canarian Yellow
24162.jpg,2162,2K 2162  Canarian Yellow
24020.jpg,2020,2K 2020  Black
24920.jpg,2920,2K 2920  Clear Black
114940.jpg,2940,2K 2940  Clear Light Blue
14960.jpg,2960,2K 2960  Clear Yellow Gold
14980.jpg,2980,2K 2980  Clear Red Oxide
124030.jpg,2030,2K 2030  Violet
134040.jpg,2040,2K 2040  Light Blue
114041.jpg,2041,2K 2041  Greenish Blue
114047.jpg,2047,2K 2047  Reddish Blue
24050.jpg,2050,2K 2050  Dark Green
34051.jpg,2051,2K 2051  Light Green
114060.jpg,2060,2K 2060  Yellow Gold
114061.jpg,2061,2K 2061  Lemon Green
124561.jpg,2063,2K 2063  Amazon Yellow
114070.jpg,2070,2K 2070  Light Orange
114074.jpg,2074,2K 2074  Dark Orange
24080.jpg,2080,2K 2080  Red Gold
24081.jpg,2081,2K 2081  Orange
114082.jpg,2082,2K 2082  Red Brown
24084.jpg,2084,2K 2084  Red Rose
24085.jpg,2085,2K 2085  Old Red
24120.jpg,2120,2K 2120  Laser Black
24188.jpg,2188,2K 2188  Magenta
24283.jpg,2283,2K 2283  Red Yellow
114561.jpg,2561,2K 2561  Yellow Star
24582.jpg,2582,2K 2582  Deep Red
24640.jpg,2640,2K 2640  Medium Blue
24681.jpg,2681,2K 2681  Fire Red
24882.jpg,2882,2K 2882  Dark Red Rose
134025.jpg,2340,2K 2340  Jet Black
4040.jpg,4440,BC 4440  Blue
114411.jpg,4411,BC 4411  Copper Pearl
14425.jpg,4425,BC 4425  Blue-Green Pearl
14436.jpg,4436,BC 4436  Dark Gold Pearl
14525.jpg,4525,BC 4525  Green Pearl
14711.jpg,4711,BC 4711  Violet Pearl
4101.jpg,4911,BC 4911 Fine White Pearl
4605.jpg,4605,XB 4605 Xirallic Spring Green
14707.jpg,4707,CB 4707  Crystal Light Copper
4940.jpg,4941,BC 4941  Clear Blue
44940.jpg,2941,2K 2941  Clear Blue
1111144025.jpg,2201,2K 2120  Laser Black
114040.jpg,2440,2K 2440  Blue
24026.jpg,2026,2K 2026  Black Night
134030.jpg,4030O,BC 4030 OLD  Violet
34047.jpg,4047O,BC 4047 OLD  Reddish Blue
14517.jpg,4517O,BC 4517 OLD  Aluminum Extra
4020.jpg,20,LS 20  Mixing Black
4040.jpg,44,LS 44  Greenish Blue
4050.jpg,54,LS 54  Dark Green
4940.jpg,49,LS 49  Clear Blue
4041.jpg,46,LS 46  Medium Blue
4040.jpg,40,LS 40  Reddish Blue
4030.jpg,30,LS 30  Violet
4920.jpg,29,LS 29  Clear Black
4025.jpg,25,LS 25  Carbon Black
4051.jpg,56,LS 56  Light Green
4050.jpg,59,LS 59  Clear Green
4561.jpg,61,LS 61  Yellow Stars
4561.jpg,62,LS 62  Medium Yellow
4162.jpg,66,LS 66  Organic Yellow
4560.jpg,67,LS 67  Oxide Yellow
4960.jpg,69,LS 69  Clear Yellow
4074.jpg,74,LS 74  Organic Orange
4060.jpg,77,LS 77  Red Oxide
4162.jpg,79,LS 79  Clear Orange
4283.jpg,82,LS 82  Post Red
4074.jpg,85,LS 85  Fire Red
4283.jpg,86,LS 86  Deep Red
4084.jpg,88,LS 88  Magenta
4019.jpg,90,LS 90  White
4019.jpg,99,LS 99  Clear White
,01,LS 01  Clear
,10,LS 10  Clear 2
04101.jpg,63,LS 63 name
,65,LS 65 name
,70,LS 70 name
4020.jpg,403,LS 403 Jet Black
,4001,4001
,4761,4761
,4503,4503
4047.jpg,4048,BC 4048 Violet Blue
,4121,BC 4121 Chrome Effect
,4925,BC 4925 Orange Copper Pearl
,4203,BC 4203 Midnight Black
