SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Evaluation,BUCKET,DATABASE,Tag_Coarseness
TOYOTA 196 (S1),TOYOTA,196,GREY MICA MET,1993-2013,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 196 (S2),TOYOTA,196,GREY MICA MET,1993-2013,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 173 (S1),TOYOTA,173,SILVER MET,1988-2005,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 077 (S4),TOYOTA,077,PREMIUM WHITE PEARL,2006-2019,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1B9 (S1),TOYOTA,1B9,QUICK SILVER MET,1997-2004,3,2,CAMPAIGN MEASUREMENT,Coarse
TOYOTA 1C8 (S2),TOYOTA,1C8,SILVER MET,1999-2006,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1C8 (S1),TOYOTA,1C8,SILVER MET,1999-2006,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1A5 (S1),TOYOTA,1A5,WARM GREY PEARL MET,1995-2003,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 1C1 (S1),TOYOTA,1C1,CRYSTAL SILVER PEARL MET,1997-2002,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 1B1 (S1),TOYOTA,1B1,WARM SILVER MET,1996-2007,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1C4 (S2),TOYOTA,1C4,SILVER OPAL MET,1998-2002,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1C7 (S1),TOYOTA,1C7,THUNDER GREY MET,1999-2002,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1C7 (S2),TOYOTA,1C7,THUNDER GREY MET,1999-2002,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1A2 (S2),TOYOTA,1A2,LIGHT GRAIGE MET,1994-2004,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 074 (S1),TOYOTA,074,BLUISH PEARL CRYSTAL SHINE,2005-2012,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 4R3 (S1),TOYOTA,4R3,GOLD MICA MET,2002-2017,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1A0 (S2),TOYOTA,1A0,BLUISH SILVER MET,1993-2004,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 1C5 (S1),TOYOTA,1C5,SILVER GRAPHITE MET,1998-2003,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 071 (S1),TOYOTA,071,WHITE PEARL MICA MET,2003-2009,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 057 (S1),TOYOTA,057,WHITE PEARL,1996-2006,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 057 (S2),TOYOTA,057,WHITE PEARL,1996-2006,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 041 (S1),TOYOTA,041,NEW WHITE,1984-2001,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 041 (S2),TOYOTA,041,NEW WHITE,1984-2001,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 051 (S1),TOYOTA,051,WHITE PEARL,1989-2005,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 051 (S2),TOYOTA,051,WHITE PEARL,1989-2005,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 082 (S1),TOYOTA,082,LIME WHITE PEARL,2011-2018,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 5B9 (S1),TOYOTA,5B9,DYNAMIC YELLOW,2016-2017,#N/A,2,CAMPAIGN MEASUREMENT,#N/A
TOYOTA 9AL (S1),TOYOTA,9AL,DEEP GARNET MICA MET,2009-2014,3,2,CAMPAIGN MEASUREMENT,Coarse
TOYOTA 3T6 (S1),TOYOTA,3T6,CRIMSON APARK RED MET,2015-2019,2,2,CAMPAIGN MEASUREMENT,Medium
TOYOTA 078 (S1),TOYOTA,078,QUARTZ WHITE CRYSTAL SHINE,2008-2015,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 049 (S1),TOYOTA,049,WHITE PEARL,1998-2002,1,2,CAMPAIGN MEASUREMENT,Fine
