SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
HYUNDAI 3M (S1)-LS,HYUNDAI,3M,VANILLA WHITE,NA,
HYUNDAI 3M (S2)-LS,HYUNDAI,3M,VANILLA WHITE,NA,
HYUNDAI GT (S1)-LS,HYUNDAI,GT,CRYSTAL WHITE,NA,
HYUNDAI GT (S2)-LS,HYUNDAI,GT,CRYSTAL WHITE,NA,
HYUNDAI 9Z (S2)-LS,HYUNDAI,9Z,ARCTIC WHITE,NA,
AUDI LA9B (S1)-LS,AUDI,LA9B,COOL WHITE,NA,
AUDI LA9B (S2)-LS,AUDI,LA9B,COOL WHITE,NA,
AUDI LA9B (S3)-LS,AUDI,LA9B,COOL WHITE,NA,
AUDI LB9A (S1)-LS,AUDI,LB9A,CANDYWEISS,NA,
AUDI LB9A (S2)-LS,AUDI,LB9A,CANDYWEISS,NA,
HYUNDAI NAA (S1)-LS,HYUNDAI,NAA,CERAMIC WHITE,NA,
HYUNDAI NAA (S2)-LS,HYUNDAI,NAA,CERAMIC WHITE,NA,
HYUNDAI NW (S1)-LS,HYUNDAI,NW,NOBLE WHITE,NA,
HYUNDAI NW (S2)-LS,HYUNDAI,NW,NOBLE WHITE,NA,
HYUNDAI OA (S1)-LS,HYUNDAI,OA,CREAM WHITE,NA,
HYUNDAI PT (S1)-LS,HYUNDAI,PT,PAPYRUS WHITE,NA,
AUDI LC9A (S1)-LS,AUDI,LC9A,PURE WHITE,NA,
HYUNDAI SW (S2)-LS,HYUNDAI,SW,SPECIAL WHITE,NA,
HYUNDAI RBC (S1)-LS,HYUNDAI,RBC,POLAR WHITE,NA,
AUDI LY9G (S1)-LS,AUDI,LY9G,CASABLANCAWEISS,NA,
AUDI LY9G (S2)-LS,AUDI,LY9G,CASABLANCAWEISS,NA,
AUDI LR9A (S1)-LS,AUDI,LR9A,CAMPANELLAWEISS,NA,
DAEWOO 10L (S1)-LS,DAEWOO,10L,CASABLANCA WHITE,NA,
DAEWOO 10L (S2)-LS,DAEWOO,10L,CASABLANCA WHITE,NA,
DAEWOO 11U (S1)-LS,DAEWOO,11U,GALAXY WHITE,NA,
HYUNDAI UD (S1)-LS,HYUNDAI,UD,CLEAR WHITE,NA,
AUDI LH9L (S1)-LS,AUDI,LH9L,SHELLWEISS,NA,
HYUNDAI TRP (S1)-LS,HYUNDAI,TRP,VOLCANIC RED,NA,
HYUNDAI UD (S2)-LS,HYUNDAI,UD,CLEAR WHITE,NA,
HYUNDAI WW (S1)-LS,HYUNDAI,WW,WHITE WISH,NA,
HYUNDAI WAB (S1)-LS,HYUNDAI,WAB,VANILLA WHITE,NA,
HYUNDAI NGA (S1)-LS,HYUNDAI,NGA,SUPER RED,NA,
HYUNDAI IA (S2)-LS,HYUNDAI,IA,VIVID YELLOW,NA,
NISSAN 002 (S1)-LS,NISSAN,002,WHITE,NA,
NISSAN D31 (S1)-LS,NISSAN,D31,CASABLANCA WHITE,NA,
NISSAN 326 (S1)-LS,NISSAN,326,SUPER WHITE,NA,
KIA UC (S1)-LS,KIA,UC,CRYSTAL WHITE,NA,
KIA UC (S2)-LS,KIA,UC,CRYSTAL WHITE,NA,
KIA WD (S1)-LS,KIA,WD,CASA WHITE,NA,
KIA WD (S2)-LS,KIA,WD,CASA WHITE,NA,
KIA PT (S1)-LS,KIA,PT,PAPYRUS WHITE,NA,
KIA 1D (S1)-LS,KIA,1D,CLEAR WHITE,NA,
KIA 7F (S1)-LS,KIA,7F,SOLID WHITE,NA,
KIA 7F (S2)-LS,KIA,7F,SOLID WHITE,NA,
KIA PH (S1)-LS,KIA,PH,POLAR WHITE,NA,
KIA PH (S2)-LS,KIA,PH,POLAR WHITE,NA,
KIA AW (S1)-LS,KIA,AW,ASPEN WHITE,NA,
MAZDA 14L (S1)-LS,MAZDA,14L,OXFORD WHITE,NA,
MAZDA 14L (S2)-LS,MAZDA,14L,OXFORD WHITE,NA,
MAZDA WY (S1)-LS,MAZDA,WY,NOBLE WHITE,NA,
MAZDA WY (S2)-LS,MAZDA,WY,NOBLE WHITE,NA,
MAZDA A4D (S1)-LS,MAZDA,A4D,ARCTIC WHITE,NA,
MAZDA A4D (S2)-LS,MAZDA,A4D,ARCTIC WHITE,NA,
MERCEDES 7187 (S1)-LS,MERCEDES,7187,LKW GRAU,NA,
MAZDA A3D (S1)-LS,MAZDA,A3D,PURE WHITE,NA,
MAZDA A2N (S1)-LS,MAZDA,A2N,GLACIER WHITE,NA,
MAZDA A2N (S2)-LS,MAZDA,A2N,GLACIER WHITE,NA,
TOYOTA 040 (S1)-LS,TOYOTA,040,SUPER WHITE 2,NA,
MERCEDES 147 (S1)-LS,MERCEDES,147,ARKTIKWEISS,NA,
TOYOTA 045 (S1)-LS,TOYOTA,045,GLACIAL WHITE,NA,
TOYOTA 045 (S2)-LS,TOYOTA,045,GLACIAL WHITE,NA,
TOYOTA 040 (S2)-LS,TOYOTA,040,SUPER WHITE 2,NA,
TOYOTA 048 (S1)-LS,TOYOTA,048,WHITE,NA,
TOYOTA 058 (S1)-LS,TOYOTA,058,WHITE,NA,
TOYOTA 056 (S1)-LS,TOYOTA,056,WHITE,NA,
TOYOTA 056 (S2)-LS,TOYOTA,056,WHITE,NA,
MAZDA A5Y (S1)-LS,MAZDA,A5Y,FROZEN WHITE,NA,
MAZDA A5Y (S2)-LS,MAZDA,A5Y,FROZEN WHITE,NA,
MAZDA A7A (S1)-LS,MAZDA,A7A,WHITE SUEDE,NA,
MAZDA HC (S1)-LS,MAZDA,HC,NEO WHITE,NA,
MAZDA HS (S1)-LS,MAZDA,HS,CYGNUS WHITE,NA,
MAZDA HS (S2)-LS,MAZDA,HS,CYGNUS WHITE,NA,
MAZDA UA (S1)-LS,MAZDA,UA,CAMEO WHITE,NA,
TOYOTA 3J6 (S1)-LS,TOYOTA,3J6,SUPER RED 3,NA,
MAZDA UB (S1)-LS,MAZDA,UB,OXFORD WHITE,NA,
MAZDA UF (S1)-LS,MAZDA,UF,CLEAR WHITE,NA,
MAZDA UF (S2)-LS,MAZDA,UF,CLEAR WHITE,NA,
MAZDA UK (S1)-LS,MAZDA,UK,PERFORMANCE WHITE,NA,
MAZDA WT (S1)-LS,MAZDA,WT,FORMULA WHITE,NA,
MAZDA WT (S2)-LS,MAZDA,WT,FORMULA WHITE,NA,
MAZDA WU (S1)-LS,MAZDA,WU,DOVER WHITE,NA,
MAZDA WU (S2)-LS,MAZDA,WU,DOVER WHITE,NA,
MAZDA WW (S1)-LS,MAZDA,WW,COTTON WHITE,NA,
TOYOTA 058 (S2)-LS,TOYOTA,058,WHITE,NA,
TOYOTA W09 (S2)-LS,TOYOTA,W09,WHITE,NA,
