SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
TOYOTA 196 (S1),TOYOTA,196,GREY MICA MET,Medium
TOYOTA 196 (S2),TOYOTA,196,GREY MICA MET,Medium
TOYOTA 173 (S1),TOYOTA,173,SILVER MET,Medium
TOYOTA 077 (S4),TOYOTA,077,PREMIUM WHITE PEARL,Medium
TOYOTA 1B9 (S1),TOYOTA,1B9,QUICK SILVER MET,Coarse
TOYOTA 1C8 (S2),TOYOTA,1C8,SILVER MET,Medium
TOYOTA 1C8 (S1),TOYOTA,1C8,SILVER MET,Medium
TOYOTA 1A5 (S1),TOYOTA,1A5,WARM GREY PEARL MET,Fine
TOYOTA 1C1 (S1),TOYOTA,1C1,CRYSTAL SILVER PEARL MET,Fine
TOYOTA 1B1 (S1),TOYOTA,1B1,WARM SILVER MET,Medium
TOYOTA 1C4 (S2),TOYOTA,1C4,SILVER OPAL MET,Medium
TOYOTA 1C7 (S1),TOYOTA,1C7,THUNDER GREY MET,Medium
TOYOTA 1C7 (S2),TOYOTA,1C7,THUNDER GREY MET,Medium
TOYOTA 1A2 (S2),TOYOTA,1A2,LIGHT GRAIGE MET,Medium
TOYOTA 074 (S1),TOYOTA,074,BLUISH PEARL CRYSTAL SHINE,Fine
TOYOTA 4R3 (S1),TOYOTA,4R3,GOLD MICA MET,Medium
TOYOTA 1A0 (S2),TOYOTA,1A0,BLUISH SILVER MET,Medium
TOYOTA 1C5 (S1),TOYOTA,1C5,SILVER GRAPHITE MET,Medium
TOYOTA 071 (S1),TOYOTA,071,WHITE PEARL MICA MET,Fine
TOYOTA 057 (S1),TOYOTA,057,WHITE PEARL,Fine
TOYOTA 057 (S2),TOYOTA,057,WHITE PEARL,Fine
TOYOTA 041 (S1),TOYOTA,041,NEW WHITE,Fine
TOYOTA 041 (S2),TOYOTA,041,NEW WHITE,Fine
TOYOTA 051 (S1),TOYOTA,051,WHITE PEARL,Fine
TOYOTA 051 (S2),TOYOTA,051,WHITE PEARL,Fine
TOYOTA 082 (S1),TOYOTA,082,LIME WHITE PEARL,Fine
TOYOTA 5B9 (S1),TOYOTA,5B9,DYNAMIC YELLOW,#N/A
TOYOTA 9AL (S1),TOYOTA,9AL,DEEP GARNET MICA MET,Coarse
TOYOTA 3T6 (S1),TOYOTA,3T6,CRIMSON APARK RED MET,Medium
TOYOTA 078 (S1),TOYOTA,078,QUARTZ WHITE CRYSTAL SHINE,Fine
TOYOTA 049 (S1),TOYOTA,049,WHITE PEARL,Fine
TOYOTA 064 (S1),TOYOTA,064,WHITE PEARL CRYSTAL SHINE,Fine
TOYOTA 084 (S1),TOYOTA,084,GLACIER PEARL MICA,Fine
TOYOTA 1B2 (S2),TOYOTA,1B2,GREY MICA MET,Medium
TOYOTA 1B2 (S3),TOYOTA,1B2,GREY MICA MET,Coarse
CHRYSLER PQD (S1),CHRYSLER,PQD,SURF BLUE PEARLCOAT,Coarse
KIA G7A (S1),KIA,G7A,POP ORANGE PEARL MET,Medium
KIA DYS (S1),KIA,DYS,DIGITAL YELLOW,Fine
MERCEDES 134 (S1),MERCEDES,134,BERGKRISTALL WEISS MET,Fine
MITSUBISHI P17 (S1),MITSUBISHI,P17,MEDIUM RED PEARL,Medium
MITSUBISHI U04 (S1),MITSUBISHI,U04,QUICK SILVER MET,Coarse
CHRYSLER PRV (S1),CHRYSLER,PRV,VELVET RED PEARL,Medium
HONDA NH603P (S1),HONDA,NH603P,WHITE DIAMOND PEARL,Fine
HYUNDAI UU9 (S1),HYUNDAI,UU9,BLUE OCEAN MET,Coarse
HYUNDAI US (S1),HYUNDAI,US,SKY BLUE MET,Coarse
KIA B2Y- (S2),KIA,B2Y,HONEY BEE MET,Fine
MERCEDES 775 (S1),MERCEDES,775,IRIDIUMSILBER MET,Medium
NISSAN RCA (S1),NISSAN,RCA,CASPIAN BLUE PEARL MET,Coarse
NISSAN KT4 (S1),NISSAN,KT4,DARK GREY PEARL,Coarse
NISSAN KT4 (S2),NISSAN,KT4,DARK GREY PEARL,Coarse
OPEL 22T (S1),OPEL,22T,DARK INK MET,Medium
PEUGEOT KKS (S1),PEUGEOT,KKS,MOKA MET,Coarse
PEUGEOT EDZ (S1),PEUGEOT,EDZ,EMERALD CRYSTAL MET,Extra Coarse
SEAT 0X1 (S1),SEAT,0X1,DESIRE RED PERL,Fine
SKODA 9986 (S1),SKODA,9986,PLUM BLUE PERLEFEKT,Coarse
SSANGYONG RAM (S1),SSANGYONG ,RAM,FLAMING RED PEARL,Fine
SUZUKI ZVR (S1),SUZUKI,ZVR,PURE WHITE PEARL,Fine
SUZUKI ZTR (S1),SUZUKI,ZTR,SNOW WHITE 2 PEARL,Fine
