Component,Type
BC 4002 Diluant,solid
BC 4010 Clear,solid
BC 4019 White,solid
BC 4026 Black Night,solid
BC 4061 Lemon Green,solid
BC 4110 Flop Additive,solid
BC 4510 Clear White,solid
BC 4519 White Flip Flop,solid
BC 4560 Yellow Oxide,solid
BC 4920 Clear Black,solid
BC 4940 Clear Light Blue,solid
BC 4941 Clear Blue,solid
BC 4960 Clear Yellow Gold,solid
BC 4980 Clear Red Oxide,solid
BC 4030 Violet,solid
BC 4041 Greenish Blue,solid
BC 4047 Reddish Blue,solid
BC 4050 Dark Green,solid
BC 4051 Light Green,solid
BC 4060 Yellow Gold,solid
BC 4063 Amazon Yellow,solid
BC 4070 Light Orange,solid
BC 4074 Dark Orange,solid
BC 4081 Orange,solid
BC 4082 Red Brown,solid
BC 4084 Red Rose,solid
BC 4085 Old Red,solid
BC 4162 Canarian Yellow,solid
BC 4188 Magenta,solid
BC 4283 Red Yellow,solid
BC 4440 Blue,solid
BC 4580 Red Oxide,solid
BC 4582 Deep Red,solid
BC 4640 Medium Blue,solid
BC 4681 Fire Red,solid
BC 4025 Mixing Black,solid
BC 4080 Red Gold,solid
BC 4202 Midnight Black,solid
BC 4203 Carbon Black,solid
BC 4561 Yellow Star,solid
BC 4340 Jet Black,solid
BC 4789 Super Jet Black,solid
BC 4012 Aluminium Super Fine,metallic
BC 4014 Aluminium Fine,metallic
BC 4017 Medium Aluminium,metallic
BC 4018 Aluminium Extra Coarse,metallic
BC 4117 Super Medium Aluminium,metallic
BC 4517 Bright Coarse Aluminium,metallic
BC 4518 Aluminium Coarse,metallic
BC 4111 White Pearl,pearl
BC 4121 Chrome Effect,pearl
BC 4511 Red Wine Pearl,pearl
BC 4526 Light Gold Pearl,pearl
BC 4811 Blue Pearl,pearl
BC 4910 White Satin Pearl,pearl
BC 4911 Fine White Pearl,pearl
BC 4925 Orange Copper Pearl,pearl
BC 4934 Violet Pearl,pearl
BC 4954 Green Pearl,pearl
BC 4962 Yellow Pearl,pearl
BC 4963 Medium Gold Pearl,pearl
BC 4966 Rose Gold Pearl,pearl
BC 4973 Red Cooper Pearl,pearl
BC 4974 Sunrise Red Pearl,pearl
BC 4975 Reddish Brown Pearl,pearl
BC 4985 Red Rose Pearl,pearl
BC 4987 Gold Orange Pearl,pearl
XB 4091 Xirallic Silver,xirallic
XB 4107 Xirallic Royal Gold,xirallic
XB 4308 Xirallic Red Hell,xirallic
XB 4504 Xirallic Blue Green,xirallic
XB 4581 Xirallic Red,xirallic
XB 4605 Xirallic Spring Green,xirallic
XB 4704 Xirallic Blue,xirallic
XB 4705 Xirallic Green,xirallic
XB 4805 Xirallic Satin Red,xirallic
