SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Bucket,Database,Tag_Coarseness,
HYUNDAI 3M (S1)-LS,HYUNDAI,3M,VANILLA WHITE,2006-2016,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI 3M (S2)-LS,HYUNDAI,3M,VANILLA WHITE,2006-2016,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI GT (S1)-LS,HYUNDAI,GT,CRYSTAL WHITE,2009-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI GT (S2)-LS,HYUNDAI,GT,CRYSTAL WHITE,2009-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI 9Z (S2)-LS,HYUNDAI,9Z,ARCTIC WHITE,2006-2008,2,CAMPAIGN MEASUREMENT,NA,
AUDI LA9B (S1)-LS,AUDI,LA9B,COOL WHITE,1997-2008,2,CAMPAIGN MEASUREMENT,NA,
AUDI LA9B (S2)-LS,AUDI,LA9B,COOL WHITE,1997-2008,2,CAMPAIGN MEASUREMENT,NA,
AUDI LA9B (S3)-LS,AUDI,LA9B,COOL WHITE,1997-2008,2,CAMPAIGN MEASUREMENT,NA,
AUDI LB9A (S1)-LS,AUDI,LB9A,CANDYWEISS,1992-2020,2,CAMPAIGN MEASUREMENT,NA,
AUDI LB9A (S2)-LS,AUDI,LB9A,CANDYWEISS,1992-2020,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI NAA (S1)-LS,HYUNDAI,NAA,CERAMIC WHITE,2009-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI NAA (S2)-LS,HYUNDAI,NAA,CERAMIC WHITE,2009-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI NW (S1)-LS,HYUNDAI,NW,NOBLE WHITE,1990-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI NW (S2)-LS,HYUNDAI,NW,NOBLE WHITE,1990-2012,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI OA (S1)-LS,HYUNDAI,OA,CREAM WHITE,2004-2008,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI PT (S1)-LS,HYUNDAI,PT,PAPYRUS WHITE,1997-2000,2,CAMPAIGN MEASUREMENT,NA,
AUDI LC9A (S1)-LS,AUDI,LC9A,PURE WHITE,2011-2020,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI SW (S2)-LS,HYUNDAI,SW,SPECIAL WHITE,1987-1991,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI RBC (S1)-LS,HYUNDAI,RBC,POLAR WHITE,2010-2015,2,CAMPAIGN MEASUREMENT,NA,
AUDI LY9G (S1)-LS,AUDI,LY9G,CASABLANCAWEISS,1994-2004,2,CAMPAIGN MEASUREMENT,NA,
AUDI LY9G (S2)-LS,AUDI,LY9G,CASABLANCAWEISS,1994-2004,2,CAMPAIGN MEASUREMENT,NA,
AUDI LR9A (S1)-LS,AUDI,LR9A,CAMPANELLAWEISS,2001-2016,2,CAMPAIGN MEASUREMENT,NA,
DAEWOO 10L (S1)-LS,DAEWOO,10L,CASABLANCA WHITE,1993-2005,2,CAMPAIGN MEASUREMENT,NA,
DAEWOO 10L (S2)-LS,DAEWOO,10L,CASABLANCA WHITE,1993-2005,2,CAMPAIGN MEASUREMENT,NA,
DAEWOO 11U (S1)-LS,DAEWOO,11U,GALAXY WHITE,1997-2006,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI UD (S1)-LS,HYUNDAI,UD,CLEAR WHITE,2007-2009,2,CAMPAIGN MEASUREMENT,NA,
AUDI LH9L (S1)-LS,AUDI,LH9L,SHELLWEISS,1995-2008,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI TRP (S1)-LS,HYUNDAI,TRP,VOLCANIC RED,2012-2013,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI UD (S2)-LS,HYUNDAI,UD,CLEAR WHITE,2007-2009,2,CAMPAIGN MEASUREMENT,NA,
HYUNDAI WW (S1)-LS,HYUNDAI,WW,WHITE WISH,2001-2008,2,CAMPAIGN MEASUREMENT,NA,
