SampleID,Layer,Component,Quantity,,,,,,,,,
TOYOTA 196 (S1),1,BC 4002,0.6,,,,,,,,,
TOYOTA 196 (S1),1,BC 4117,43.5,,,,,,,,,
TOYOTA 196 (S1),1,BC 4202,18.3,,,,,,,,,
TOYOTA 196 (S1),1,BC 4517,9.9,,,,,,,,,
TOYOTA 196 (S1),1,BC 4025,9.2,,,,,,,,,
TOYOTA 196 (S1),1,BC 4510,7.6,,,,,,,,,
TOYOTA 196 (S1),1,BC 4440,3.6,,,,,,,,,
TOYOTA 196 (S1),1,BC 4188,1.5,,,,,,,,,
TOYOTA 196 (S1),1,BC 4934,1,,,,,,,,,
TOYOTA 196 (S1),1,BC 4110,4.8,,,,,,,,,
TOYOTA 196 (S2),1,BC 4002,2.7,,,,,,,,,
TOYOTA 196 (S2),1,BC 4117,40,,,,,,,,,
TOYOTA 196 (S2),1,BC 4202,20.5,,,,,,,,,
TOYOTA 196 (S2),1,BC 4517,9.3,,,,,,,,,
TOYOTA 196 (S2),1,BC 4025,8.1,,,,,,,,,
TOYOTA 196 (S2),1,BC 4510,7,,,,,,,,,
TOYOTA 196 (S2),1,BC 4440,3.9,,,,,,,,,
TOYOTA 196 (S2),1,BC 4188,2.3,,,,,,,,,
TOYOTA 196 (S2),1,BC 4934,1,,,,,,,,,
TOYOTA 196 (S2),1,BC 4681,0.8,,,,,,,,,
TOYOTA 196 (S2),1,BC 4110,4.4,,,,,,,,,
TOYOTA 173 (S1),1,BC 4002,4,,,,,,,,,
TOYOTA 173 (S1),1,BC 4017,64.5,,,,,,,,,
TOYOTA 173 (S1),1,BC 4517,12.9,,,,,,,,,
TOYOTA 173 (S1),1,BC 4018,6.7,,,,,,,,,
TOYOTA 173 (S1),1,BC 4025,2.2,,,,,,,,,
TOYOTA 173 (S1),1,BC 4560,0.4,,,,,,,,,
TOYOTA 173 (S1),1,BC 4202,0.4,,,,,,,,,
TOYOTA 173 (S1),1,BC 4110,8.9,,,,,,,,,
TOYOTA 077 (S4),1,BC 4002,3.8,,,,,,,,,
TOYOTA 077 (S4),1,BC 4019,80.3,,,,,,,,,
TOYOTA 077 (S4),1,BC 4960,10.7,,,,,,,,,
TOYOTA 077 (S4),1,BC 4025,2.4,,,,,,,,,
TOYOTA 077 (S4),1,BC 4980,2.1,,,,,,,,,
TOYOTA 077 (S4),1,BC 4560,0.7,,,,,,,,,
TOYOTA 077 (S4),2,BC 4002,2.5,,,,,,,,,
TOYOTA 077 (S4),2,XB 4091,65.8,,,,,,,,,
TOYOTA 077 (S4),2,BC 4111,16.2,,,,,,,,,
TOYOTA 077 (S4),2,BC 4110,15.5,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4002,4.5,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4018,38.4,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4117,21.9,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4025,12.9,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4060,8.6,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4517,5.5,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4202,4.1,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4440,0.9,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4084,0.2,,,,,,,,,
TOYOTA 1B9 (S1),1,BC 4110,3,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4002,5.5,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4117,59.6,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4517,14.8,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4060,5.6,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4025,3.9,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4014,3.9,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4510,0.8,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4080,0.7,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4050,0.5,,,,,,,,,
TOYOTA 1C8 (S2),1,BC 4110,4.7,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4002,5.4,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4117,65.3,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4014,23.2,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4060,5.7,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4561,0.2,,,,,,,,,
TOYOTA 1C8 (S1),1,BC 4051,0.2,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4002,4,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4111,49.5,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4117,23.2,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4014,10,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4060,5.2,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4019,5.2,,,,,,,,,
TOYOTA 1A5 (S1),1,BC 4084,0.4,,,,,,,,,
