SampleId,Substrate,Sample name,DateTime,Geometry,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as-15,43.54,58.91,63.36,64.65,66.36,67.09,67.54,67.65,68.12,68.42,69.37,70.48,71.49,72.67,73.59,74.3,74.54,74.56,74.58,74.59,74.36,74.24,74.12,73.78,73.6,73.64,73.28,72.93,72.55,72.27,72.11
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as15 ,41.01,56.3,62.23,64.31,65.95,67.08,67.42,67.56,68.03,68.52,69.41,70.55,71.7,72.87,73.86,74.47,74.69,74.64,74.6,74.51,74.3,74.13,73.88,73.61,73.44,73.49,73.12,72.59,72.52,72.58,72.03
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as25 ,40.9,56.29,61.71,63.69,65.34,66.46,66.9,66.95,67.23,67.72,68.56,69.81,70.94,72.15,73.13,73.61,73.89,73.97,73.99,73.91,73.62,73.44,73.28,73.06,72.89,72.95,72.66,71.99,71.81,71.94,71.56
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as45 ,41.85,56.32,62.1,63.85,65.36,66.43,66.69,66.76,67.13,67.63,68.45,69.54,70.67,71.85,72.74,73.26,73.52,73.62,73.61,73.5,73.2,73.01,72.87,72.54,72.36,72.52,72.3,71.63,71.48,71.61,71.15
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as75 ,45.51,59.05,64.1,65.62,67.1,67.93,68.03,67.91,68.1,68.47,69.2,70.21,71.29,72.31,73.07,73.47,73.78,73.7,73.54,73.47,73.2,72.97,72.71,72.4,72.19,72.06,71.91,71.11,71.17,71.26,70.98
AUDI LXK0 (S1)-LS,LENETA OW,AUDI LXK0 (S1)-LS,2021-11-26T07:49:28Z,45as110,44.22,55.81,61.33,62.52,63.76,64.25,64.56,64.18,64.43,64.84,65.47,66.33,67.23,68.21,68.96,69.4,69.61,69.71,69.62,69.46,68.98,68.72,68.36,68.08,67.97,67.97,67.34,67.14,66.98,67.07,66.79
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as-15,44.21,60.21,65.09,66.73,68.87,69.92,70.63,70.99,71.67,72.27,73.57,75.17,76.83,78.64,80.18,81.28,81.63,81.54,81.34,81.02,80.37,80.01,79.76,79.27,79.02,79.04,78.65,78.39,78.22,78.14,78.09
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as15 ,41.64,57.7,64.16,66.69,68.76,70.25,70.83,71.19,71.86,72.71,73.98,75.64,77.48,79.38,80.97,81.94,82.26,82.13,81.86,81.42,80.82,80.34,79.9,79.53,79.29,79.29,78.88,78.42,78.49,78.77,78.42
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as25 ,41.45,57.77,63.66,66.03,68.08,69.62,70.31,70.59,71.11,71.9,73.08,74.84,76.62,78.58,80.17,81,81.41,81.41,81.18,80.72,80.02,79.53,79.19,78.84,78.58,78.58,78.29,77.69,77.65,78,77.86
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as45 ,42,57.62,63.92,66.07,68.02,69.48,69.97,70.22,70.79,71.59,72.8,74.46,76.22,78.14,79.64,80.55,80.93,80.94,80.69,80.22,79.48,78.98,78.64,78.19,77.92,78.06,77.78,77.17,77.16,77.47,77.26
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as75 ,46.18,60.41,65.94,67.86,69.78,70.97,71.35,71.45,71.76,72.38,73.58,75.14,76.88,78.61,79.94,80.69,81.13,80.92,80.52,80.1,79.43,78.9,78.43,78.01,77.7,77.5,77.35,76.58,76.78,77.18,76.93
HYUNDAI SW (S1)-LS,LENETA OW,HYUNDAI SW (S1)-LS,2021-11-26T07:50:00Z,45as110,44.99,57.14,63.23,64.76,66.38,67.22,67.73,67.54,67.96,68.68,69.7,71.04,72.51,74.17,75.54,76.28,76.59,76.61,76.28,75.77,74.88,74.35,73.82,73.45,73.23,73.18,72.48,72.4,72.34,72.66,72.61
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as-15,45.22,64.32,70.54,71.9,73.24,73.62,74.03,74.12,74.5,74.65,75.21,75.82,76.24,76.74,77.08,77.44,77.42,77.23,77.11,76.97,76.57,76.36,76.21,75.8,75.6,75.64,75.29,74.92,74.58,74.29,74.04
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as15 ,43.23,62.36,70.35,72.68,73.89,74.69,74.93,75.06,75.43,75.75,76.23,76.77,77.25,77.76,78.18,78.37,78.33,78.07,77.89,77.65,77.3,77.02,76.69,76.37,76.16,76.16,75.75,75.21,75.15,75.2,74.74
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as25 ,43.46,62.77,70.05,72.26,73.4,74.21,74.59,74.64,74.81,75.05,75.47,76.17,76.61,77.15,77.54,77.6,77.59,77.46,77.33,77.11,76.66,76.39,76.12,75.85,75.58,75.61,75.31,74.61,74.43,74.53,74.21
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as45 ,44.2,62.74,70.49,72.41,73.48,74.23,74.36,74.33,74.61,74.93,75.36,75.91,76.35,76.83,77.11,77.2,77.15,77.07,76.9,76.65,76.19,75.9,75.64,75.24,75.05,75.18,74.88,74.15,73.95,74.1,73.61
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as75 ,47.92,65.37,72.28,73.97,74.97,75.5,75.53,75.37,75.42,75.53,75.92,76.39,76.82,77.13,77.3,77.27,77.31,77.03,76.7,76.46,76.06,75.72,75.37,75,74.74,74.55,74.36,73.51,73.6,73.7,73.27
HYUNDAI 9Z (S1)-LS,LENETA OW,HYUNDAI 9Z (S1)-LS,2021-11-26T07:50:46Z,45as110,47.27,61.61,69.19,70.52,71.33,71.49,71.74,71.29,71.46,71.67,71.93,72.31,72.61,72.93,73.16,73.2,73.15,73.08,72.84,72.54,71.9,71.51,71.07,70.76,70.59,70.52,69.81,69.58,69.43,69.55,69.24
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as-15,43.92,64.55,71.43,72.41,72.85,72.57,72.59,72.4,72.41,72.13,72.14,72.05,71.67,71.36,71,70.72,70.26,69.74,69.37,69.08,68.59,68.29,68.09,67.73,67.62,67.86,67.75,67.6,67.4,67.19,67.17
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as15 ,43.16,63.86,72.57,74.52,74.82,74.95,74.82,74.61,74.6,74.43,74.3,74.1,73.75,73.41,73.09,72.71,72.23,71.62,71.15,70.76,70.33,69.98,69.62,69.35,69.31,69.53,69.38,69.01,69.07,69.22,69.03
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as25 ,43.8,64.68,72.68,74.46,74.7,74.83,74.8,74.52,74.38,74.14,73.93,73.9,73.53,73.19,72.82,72.28,71.85,71.38,70.98,70.6,70.07,69.72,69.44,69.21,69.15,69.42,69.34,68.85,68.79,69.03,68.95
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as45 ,45.01,64.97,73.45,74.95,75.07,75.14,74.93,74.62,74.48,74.33,74.17,73.97,73.56,73.2,72.72,72.24,71.73,71.26,70.84,70.45,69.9,69.53,69.26,69,68.93,69.29,69.24,68.71,68.67,68.97,68.72
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as75 ,49.26,67.88,75.51,76.76,76.85,76.72,76.39,75.92,75.6,75.26,75.02,74.76,74.33,73.86,73.3,72.72,72.3,71.69,71.12,70.74,70.25,69.85,69.48,69.22,69.11,69.16,69.26,68.59,68.74,68.99,68.85
NISSAN D31 (S1)-LS,LENETA OW,NISSAN D31 (S1)-LS,2021-11-26T07:51:56Z,45as110,48.33,63.84,72.26,73.21,73.12,72.74,72.64,71.9,71.72,71.5,71.23,70.95,70.46,70.04,69.6,69.11,68.63,68.23,67.77,67.32,66.62,66.19,65.76,65.51,65.49,65.67,65.25,65.21,65.1,65.35,65.29
KIA UD (S1)-LS,LENETA OW,KIA UD (S1)-LS,2021-11-26T07:52:30Z,45as-15,42.37,57.9,62.13,62.79,63.63,63.98,64.9,66.28,67.93,68.76,69.49,70.32,71.38,72.18,72.59,73.03,73.19,73.12,73.35,73.75,73.85,73.98,73.98,73.63,73.48,73.56,73.27,72.92,72.55,72.19,71.97
